Sæson;Kommune;Art;Type;Alder;Køn;Maj;Juni;Juli;Oktober;November;December;Januar
2018/2019;"Thisted";Rådyr;Råbuk;2+ år;Han;130;61;29;12;10;14;8
2018/2019;"Thisted";Rådyr;Råbuk;1 år;Han;31;8;11;9;4;8;8
2018/2019;"Thisted";Rådyr;Råbuk;;Han;75;44;18;15;14;11;3
2018/2019;"Thisted";Rådyr;Rå;2+ år;Hun;0;0;0;20;37;25;17
2018/2019;"Thisted";Rådyr;Rå;1 år;Hun;0;0;0;7;13;7;8
2018/2019;"Thisted";Rådyr;Rå;;Hun;0;1;0;20;30;29;19
2018/2019;"Thisted";Rådyr;Lam;Under 1 år;Han;0;0;0;30;22;10;13
2018/2019;"Thisted";Rådyr;Lam;Under 1 år;Hun;0;0;0;30;28;11;12
2018/2019;"Thisted";Rådyr;Lam;Under 1 år;;0;0;1;24;19;31;13
2018/2019;"Thisted";Rådyr;Ikke angivet;;Han;1;0;0;0;0;0;0